English sentence,Swahii Translation
The group leader escaped into the neighboring country.,Kiongozi wa kikundi hicho alitoroka kwenda nchi jirani.
The remaining fighters retreated back to their homeland.,Wapiganaji waliobaki walirudi katika nchi yao.
Several other fighters joined other different factions.,Wapiganaji wengine kadhaa walijiunga na vikundi vingine tofauti.
"Others fighters, some surrendered to the government while others returned to the civilian life.","Wapiganaji wengine, wengine walijisalimisha kwa serikali wakati wengine walirudi kwenye maisha ya raia."
The rebel group was finished as a fighting force.,Kundi la waasi lilikuwa limekamilika kama nguvu ya mapigano.
The main uprisings were located in the northern region.,Mageuzi makuu yalikuwa katika mkoa wa kaskazini.
The rebel groups were supported by their governments.,Vikundi vya waasi viliungwa mkono na serikali zao.
These rebel groups were not a major threat to the current government.,Vikundi hivi vya waasi havikuwa tishio kubwa kwa serikali ya sasa.
The rebel group hid in the mountains.,Kikundi cha waasi kilijificha milimani.
The former rebel group was led by a government official.,Kundi la zamani la waasi liliongozwa na afisa wa serikali.
The group was formed by former members of a rebel movement.,Kikundi hicho kiliundwa na washiriki wa zamani wa harakati za waasi.
He managed to convince the new members to support his group.,Alifanikiwa kuwashawishi washiriki wapya kuunga mkono kikundi chake.
The group lacked popular support from the region.,Kikundi kilikosa msaada maarufu kutoka mkoa huo.
The group was active for a short period of time before becoming dormant.,Kikundi kilikuwa kinafanya kazi kwa kipindi kifupi kabla ya kuwa chini.
The former president unsuccessfully attempted to organize a rebel invasion.,Rais wa zamani hakufanikiwa kujaribu kupanga uvamizi wa waasi.
The rebels launched raids from one country to another.,Waasi walizindua shambulio kutoka nchi moja kwenda nyingine.
The rebel group was forced to retreat after three assaults.,Kundi la waasi lililazimika kurudi baada ya kushambuliwa tatu.
The rebels were forced out of the foreign land.,Waasi walilazimishwa nje ya nchi ya kigeni.
The attack was a mistake because the troops intend to maintain peace.,Shambulio hilo lilikuwa kosa kwa sababu askari wanakusudia kudumisha amani.
The troops became inactive over the years.,Wanajeshi hawakufanya kazi kwa miaka.
Its first action was a bombing in Kampala.,Kitendo chake cha kwanza kilikuwa bomu huko Kampala.
The group claimed to fight communism in the country.,Kikundi hicho kilidai kupigana na Ukomunisti nchini.
The captain threatened that his forces would kill all foreigners.,Nahodha alitishia kwamba vikosi vyake vingeua wageni wote.
The forces were later identified as part of the military wing for the country.,Vikosi hivyo baadaye vilibainika kama sehemu ya mrengo wa jeshi kwa nchi.
The rebel group kidnapped most of the women in that village.,Kikundi cha waasi kiliteka nyara wanawake wengi katika kijiji hicho.
The missionary movement became increasingly radical and militant.,Harakati za umishonari ziliongezeka zaidi na za kijeshi.
"The militants raided the mosque, attempting to take over its offices.","Wanamgambo walivamia msikiti, wakijaribu kuchukua ofisi zake."
Policemen were killed in the second attack.,Polisi waliuawa katika shambulio la pili.
The eastern border region was affected by the rebellions.,Kanda ya mpaka wa Mashariki iliathiriwa na uasi.
The relationship between the neighboring countries worsened.,Urafiki kati ya nchi jirani ulizidi kuwa mbaya.
The man was suspected of supporting another political party.,Mtu huyo alishukiwa kuunga mkono chama kingine cha siasa.
The fighters travelled freely through the country.,Wapiganaji walisafiri kwa uhuru kupitia nchi.
Their enemies funded another political group.,Maadui wao walifadhili kikundi kingine cha kisiasa.
There was a fire fight at the country's border.,Kulikuwa na mapigano ya moto kwenye mpaka wa nchi hiyo.
The president accused him of supporting his enemies.,Rais alimshtaki kwa kuwaunga mkono maadui zake.
He deployed troops to the border.,Alipeleka askari kwenye mpaka.
The country leaders were accused of supporting rebel groups.,Viongozi wa nchi walishtakiwa kwa kusaidia vikundi vya waasi.
The killing of foreign soldiers caused an open war.,Mauaji ya askari wa kigeni yalisababisha vita vya wazi.
The countries came to an agreement.,Nchi hizo zilifikia makubaliano.
He created a new movement to fight the war.,Aliunda harakati mpya kupigana vita.
The fighters launched an attack into the country.,Wapiganaji walizindua shambulio nchini.
The war was short lived.,Vita viliishi kwa muda mfupi.
The fighters were linked to a rebel group.,Wapiganaji waliunganishwa na kikundi cha waasi.
They bombed the neighbouring town.,Walipiga bomu mji wa jirani.
There is political instability between the two countries.,Kuna utulivu wa kisiasa kati ya nchi hizo mbili.
Conflicts continued at the country's border.,Migogoro iliendelea katika mpaka wa nchi.
The rebels continued to fight in the Northern region.,Waasi waliendelea kupigana katika mkoa wa kaskazini.
They headed north to have peace meetings.,Walielekea kaskazini kuwa na mikutano ya amani.
Civilians were removed from the countryside.,Raia waliondolewa mashambani.
The fighters surrendered to the government.,Wapiganaji walijisalimisha kwa serikali.
The rebels captured the city.,Waasi waliteka mji.
They attacked the city's headquarters.,Walishambulia makao makuu ya jiji.
The rebels were forced to abandon offensive plans.,Waasi walilazimika kuachana na mipango ya kukera.
The troops captured some rebels at the city headquarters.,Wanajeshi waliteka waasi wengine katika makao makuu ya jiji.
The rebels agreed to talks with government representatives.,Waasi walikubaliana kuzungumza na wawakilishi wa serikali.
Their political leadership was excluded from the negotiations.,Uongozi wao wa kisiasa haukutengwa na mazungumzo.
The government signed a peace agreement.,Serikali ilisaini makubaliano ya amani.
The militants laid down their weapons.,Wanamgambo waliweka silaha zao.
"The rebels tortured , raped and murdered civilians.","Waasi hao waliwatesa, walibaka na kuua raia."
They died of thirst and heat within a day.,Walikufa kwa kiu na joto ndani ya siku.
The villagers were relocated into camps.,Wanakijiji walihamishwa kwenye kambi.
Their tactics weakened the rebel group.,Mbinu zao zilidhoofisha kikundi cha waasi.
The fighters were offended by the government's carelessness.,Wapiganaji walikasirika na kutojali kwa serikali.
The spiritual factions were combined into a single group.,Vikundi vya kiroho vilijumuishwa kuwa kundi moja.
The followers believed in their leader.,Wafuasi waliamini kiongozi wao.
The movements increased their military strength.,Harakati ziliongezea nguvu zao za kijeshi.
They asked their spiritual leader for guidance.,Waliuliza kiongozi wao wa kiroho kwa mwongozo.
He took control of his daughter's fighters.,Alichukua udhibiti wa wapiganaji wa binti yake.
The medical team support collapsed completely.,Msaada wa timu ya matibabu ulianguka kabisa.
The leader believed in God's perfect timing.,Kiongozi aliamini wakati kamili wa Mungu.
His movement was also less centralized.,Harakati zake pia hazikuwa kati.
He declared himself the next leader.,Alijitangaza kiongozi mwingine.
Some people refused to join the new fighting group.,Watu wengine walikataa kujiunga na kikundi kipya cha mapigano.
The leader died the previous year.,Kiongozi alikufa mwaka uliopita.
They carried on the name of the previous leader.,Waliendelea na jina la kiongozi wa zamani.
They lost the fight to their enemies.,Walipoteza mapigano kwa maadui wao.
Their victory was short lived.,Ushindi wao uliishi kwa muda mfupi.
He kidnapped civilian for ransom.,Aliteka nyara raia kwa fidia.
The leader made attempts to unify his army.,Kiongozi alifanya majaribio ya kuunganisha jeshi lake.
He convinced the fighters to stay with him.,Aliwashawishi wapiganaji kukaa naye.
The two leaders clashed occassionally.,Viongozi hao wawili waligongana kwa bahati mbaya.
He disagreed with the group's decision to surrender.,Hakubaliani na uamuzi wa kikundi hicho kujisalimisha.
It was a strong fighting group.,Ilikuwa kikundi kikali cha mapigano.
The government captured the rebels.,Serikali iliwakamata waasi.
The group became a professional rebel group.,Kikundi hicho kilikuwa kikundi cha waasi kitaalam.
The fighters used guerilla tactics and kidnappings to win the war.,Wapiganaji walitumia mbinu za guerilla na utekaji nyara kushinda vita.
The civilians were forced to join the rebel groups.,Raia walilazimishwa kujiunga na vikundi vya waasi.
Spirit mediums strengthened the rebels during war.,Wahusika wa roho waliimarisha waasi wakati wa vita.
They used christian figures as their spirits.,Walitumia takwimu za Kikristo kama roho zao.
He spread his movement to other regions.,Alieneza harakati zake kwa mikoa mingine.
He sent fighters to arrest his enemy.,Alipeleka wapiganaji kumkamata adui yake.
The remaining forces joined the rebel army.,Vikosi vilivyobaki vilijiunga na jeshi la waasi.
The war fights were intense.,Mapigano ya vita yalikuwa makali.
They burned down homes and churches.,Walichoma nyumba na makanisa.
The rebels killed a church leader.,Waasi walimuua kiongozi wa kanisa.
The death of the leaders weakened the rebel group.,Kifo cha viongozi kilidhoofisha kikundi cha waasi.
The army fought off the rebels.,Jeshi lilipigania waasi.
He killed the leaders during the war.,Aliwaua viongozi wakati wa vita.
The war started in the early morning.,Vita vilianza asubuhi ya mapema.
"The rebels terrorized children, women and men.","Waasi waliwatisha watoto, wanawake na wanaume."
The captives ended up working as slaves for the rebels.,Watekaji nyara waliishia kufanya kazi kama watumwa kwa waasi.
He cut off people's noses.,Alikata pua za watu.
The leader tortured government supporters.,Kiongozi aliwatesa wafuasi wa serikali.
Government troops behaved worse towards the local people.,Vikosi vya serikali vilitenda vibaya kwa watu wa eneo hilo.
The fighters captured the rebels.,Wapiganaji waliteka waasi.
They were killed by the rebel groups.,Waliuawa na vikundi vya waasi.
The districts were closed off because of the war.,Wilaya zilifungwa kwa sababu ya vita.
The government troops destroyed rebel group operations.,Vikosi vya serikali viliharibu shughuli za kikundi cha waasi.
The troops were given a name.,Wanajeshi walipewa jina.
They operated ruthlessly affecting the population negatively.,Walifanya kazi kwa ukatili kuathiri idadi ya watu vibaya.
The rebel groups were weakened by the fighters.,Vikundi vya waasi vilidhoofishwa na wapiganaji.
The troops were overly confident.,Wanajeshi walikuwa na ujasiri sana.
The rebels are capable of very offensive actions.,Waasi wana uwezo wa vitendo vya kukera sana.
The entire rebel group was wipped out by the fighters.,Kundi lote la waasi lilifutwa na wapiganaji.
The fighters successfully weakened the rebel group.,Wapiganaji walifanikiwa kudhoofisha kikundi cha waasi.
The government was in contact with the rebels.,Serikali iliwasiliana na waasi.
The leader converted to Islam.,Kiongozi aligeukia Uislamu.
The government promised to provide military support.,Serikali iliahidi kutoa msaada wa kijeshi.
The rebels negotiated with the government.,Waasi walijadili na serikali.
They gradually withdrew from rebel activities.,Hatua kwa hatua waliondoka kutoka kwa shughuli za waasi.
Few rebels survived the fight.,Waasi wachache walinusurika mapigano.
They surrendered to the government.,Walijisalimisha kwa serikali.
They ceased operations due to defeat.,Waliacha shughuli kutokana na kushindwa.
The rebels surrendered because of major battlefield losses.,Waasi walijisalimisha kwa sababu ya upotezaji mkubwa wa uwanja wa vita.
The group collapsed due to poor leadership.,Kikundi kilianguka kwa sababu ya uongozi duni.
A few rebels remained active after being defeated.,Waasi wachache walibaki hai baada ya kushindwa.
They fought at border districts.,Walipigania wilaya za mpaka.
They stopped fighting at the end of the year.,Waliacha kupigana mwishoni mwa mwaka.
The fighters were released from prison.,Wapiganaji waliachiliwa kutoka gerezani.
The rebels signed a peace agreement with the government.,Waasi walitia saini makubaliano ya amani na serikali.
They met with the rebel leaders.,Walikutana na viongozi wa waasi.
"These talks were promising, and a ceasefire was agreed upon.","Mazungumzo haya yalikuwa yakiahidi, na mapigano yalikubaliwa."
The next series of talks led to no progress.,Mfululizo uliofuata wa mazungumzo haukusababisha maendeleo yoyote.
They were told to surrender .,Waliambiwa kujisalimisha.
The rebels continued fighting even after the peace agreement.,Waasi waliendelea kupigana hata baada ya makubaliano ya amani.
The government got involved in stopping rebel activities.,Serikali ilihusika katika kuzuia shughuli za waasi.
Rebel groups exploited chaos to gain supporters.,Vikundi vya waasi vilinyonya machafuko kupata wafuasi.
The rebels grew dramatically in strength.,Waasi walikua kwa nguvu.
The rebellion intensified and expanded in scope.,Uasi huo uliongezeka na kupanuka kwa wigo.
They overthrew the fighters who displaced different communities.,Walipindua wapiganaji ambao walihama jamii tofauti.
The country set up new rebel groups.,Nchi ilianzisha vikundi vipya vya waasi.
The rebellion persisted for a few years.,Uasi huo uliendelea kwa miaka michache.
Rebel bases in the country were destroyed.,Misingi ya waasi nchini iliharibiwa.
The country suffered from political instability.,Nchi hiyo iliteseka kutokana na kutokuwa na utulivu wa kisiasa.
The rebels targeted border districts.,Waasi walilenga wilaya za mpaka.
The movement got new leadership for better service performance.,Harakati ilipata uongozi mpya kwa utendaji bora wa huduma.
The government sent the rebels into exile.,Serikali ilituma waasi hao uhamishoni.
Some rebel groups remained active after the war.,Baadhi ya vikundi vya waasi vilibaki hai baada ya vita.
Landscape and wildlife are good tourist sites.,Mazingira na wanyama wa porini ni tovuti nzuri za watalii.
Tourism is a source of employment to the people.,Utalii ni chanzo cha ajira kwa watu.
Tourism can be used to fight poverty .,Utalii unaweza kutumika kupambana na umaskini.
There are tourism companies which employ people directly.,Kuna kampuni za utalii ambazo huajiri watu moja kwa moja.
"These companies sell products to tourists like art and crafts, traditional attire.","Kampuni hizi huuza bidhaa kwa watalii kama sanaa na ufundi, mavazi ya jadi."
Tourism can also be operated online by the online based companies.,Utalii pia unaweza kuendeshwa mkondoni na kampuni za mkondoni.
Tourist attractions include national game parks and game reserves.,Vivutio vya watalii ni pamoja na mbuga za mchezo wa kitaifa na akiba ya mchezo.
"Traditional occasions like boat riding, waterfalls are good for tourism.","Hafla za jadi kama kupanda mashua, milango ya maji ni nzuri kwa utalii."
The country received one hundred thousand international tourists each year.,Nchi ilipokea watalii wa kimataifa wa elfu mia kila mwaka.
Tourism was the country's fourth largest earner of foreign exchange.,Utalii ulikuwa kipato cha nne cha nchi kuu ya ubadilishanaji wa kigeni.
The tourist industry was affected by the war.,Sekta ya watalii iliathiriwa na vita.
The political climate stabilised and conditions were suitable for reinvestment in the tourist industry.,Hali ya kisiasa imetulia na hali zilikuwa zinafaa kwa ujanibishaji katika tasnia ya watalii.
Drastic loss of wildlife affects tourism negatively.,Upotezaji mkubwa wa wanyama wa porini huathiri utalii vibaya.
The country's tourist industry promoted its tropical forests.,Sekta ya watalii ya nchi hiyo ilikuza misitu yake ya kitropiki.
The keystone of the new industry became Bwindi impenetrable national park.,Jiwe kuu la tasnia mpya likawa Hifadhi ya Kitaifa ya Bwindi isiyoweza kufikiwa.
There are mountain gorillas in the national parks.,Kuna gorilla za mlima katika mbuga za kitaifa.
The government set up a ministry of tourism.,Serikali ilianzisha Wizara ya Utalii.
The country has several geographical areas which promote tourism.,Nchi ina maeneo kadhaa ya kijiografia ambayo yanakuza utalii.
The Ministry of Tourism maintains information and statistics pertaining to tourism of the country.,Wizara ya Utalii inashikilia habari na takwimu zinazohusu utalii wa nchi.
There has been increased investment in tourism.,Kumekuwa na uwekezaji ulioongezeka katika utalii.
Adventure tourism and cultural tourism are being developed.,Utalii wa tukio na utalii wa kitamaduni unaandaliwa.
About three-quarters of the tourists are from other countries.,Karibu robo tatu ya watalii ni kutoka nchi zingine.
People fly into the country to visit tourist attractions.,Watu husafiri kwa ndege kuja nchini kutembelea vivutio vya watalii.
Most visitors are from neighbouring countries.,Wageni wengi ni kutoka nchi jirani.
It is a landlocked country.,Ni nchi isiyo na bahari
International travellers sometimes prefer to fly in early morning.,Wasafiri wa kimataifa wakati mwingine wanapendelea kusafiri kwa ndege  mapema asubuhi.
The figure shows the number of tourists that have visited the country.,Takwimu zinaonyesha idadi ya watalii ambao wametembelea nchi.
We had the highest number of tourists the previous year.,Tulikuwa na idadi kubwa zaidi ya watalii mwaka uliopita.
Most visitors arrive into the country on short term basis.,Wageni wengi hufika nchini kwa muda mfupi.
"The country has a diverse culture, landscape and wildlife.","Nchi ina utamaduni tofauti, mazingira na wanyama wa porini."
Game viewing is the most popular tourist activity in the country.,Kuangalia mchezo ni shughuli maarufu ya watalii nchini.
"Wild animals like lions, buffaloes and elephants are common in the country.","Wanyama wa porini kama simba, nyati na tembo ni kawaida nchini."
The country is one of only ten countries where it is possible to visit endangered gorillas.,Nchi ni moja ya nchi kumi tu ambapo inawezekana kutembelea gorilla zilizo hatarini.
Mountain gorillas are prime tourist attractions.,Gorilla za mlima ni vivutio vikuu vya watalii .
The Mountain gorillas are in impenetrable national parks.,Gorilla za mlima ziko katika mbuga za kitaifa ambazo haziwezi kufikiwa.
The visitors have been allowed to view the mountain gorillas.,Wageni wameruhusiwa kutazama gorilla za mlima.
Gorillas are also endangered species.,Gorilla  ni aina ya wanyama  zilizo hatarini kutoweka.
The game park is home to the tree climbing lions.,Hifadhi ya wanyama ni nyumbani kwa simba wa kupanda miti.
" Lions do not normally climb trees, except when chased by another lion group or wild buffalo."," Simba kwa kawaida hawapandi miti, isipokuwa wakati  wanafukuzwa na kikundi kingine cha simba au nyati mwitu."
Lions climb trees when they need to rest too.,Simba hupanda miti wakati wanahitaji kupumzika pia.
This is a unique phenomenon.,Hili ni jambo la kipekee.
Lions have been spotted in the nearby trees.,Simba wameonekana kwenye miti ya karibu.
The waterbodies are popular tourism spots.,Miili ya maji ni matangazo maarufu ya utalii.
White water rafting and kayaking are popular tourism activities .,Kuweka maji nyeupe na kuoka ni shughuli maarufu za utalii.
Boating is also one of the reasons for waterbody tourism.,Kuendesha mashua pia ni moja ya sababu za utalii wa maji.
Sport fishing is another favorite tourist activity.,Uvuvi wa michezo ni shughuli nyingine inayopendwa na watalii.
Fish can be caught in designated areas like the banks of a river.,Samaki inaweza kushikwa katika maeneo yaliyotengwa kama ukingo wa mto.
Canoeing can also be done at lakes.,Kuweka mtumbwi pia kunaweza kufanywa katika maziwa.
"The country has many opportunities for mountain climbing, hiking and nature walks.","Nchi ina fursa nyingi za kupanda mlima, kupanda mlima na matembezi ya asili."
Tourists visit the country to see and climb mountain peaks.,Watalii hutembelea nchi ili kuona na kupanda kilele cha mlima.
Some game reserves are found at the bottom of the mountains.,Hifadhi zingine za wanyama hupatikana chini ya milima.
Tourists go for hiking and climbing at the mountains.,Watalii huenda kwa mguu na kupanda mlima 
Religious tourism is a steadily growing tourism product in the country.,Utalii wa Kidini ni bidhaa inayokua ya utalii nchini.
The country has failed to develop its tourism industry.,Nchi imeshindwa kukuza tasnia yake ya utalii.
The traditional tombs are also a great tourism source.,Makaburi ya jadi pia ni chanzo bora cha utalii.
The landslides happened at the country's border.,Maporomoko ya ardhi yalitokea katika mpaka wa nchi.
The landslide was triggered by heavy rain.,Maporomoko ya ardhi yalisababishwa na mvua nzito.
The rain destroyed people's property.,Mvua iliharibu mali ya watu.
The rescuers recovered over fifty bodies.,Waokoaji walipata zaidi ya miili hamsini.
The death toll is suspected to be above three hundred people.,Idadi ya vifo inashukiwa kuwa zaidi ya watu mia tatu.
Some people are reported to be missing.,Watu wengine wanaripotiwa kupotea
The landstride struck different villages in the country.,Maporomoko ya ardhi yameadhiri vijiji tofauti nchini.
Homes were destroyed by the slides.,Nyumba ziliharibiwa na maporomoko  ya ardhi
She consulted with her friends.,Alishauriana na marafiki zake.
Do you know what this is?,Je! Unajua hii ni nini?
She did not respond to us.,Hakutujibu.
It is a Human Immuno deficiency Virus.,Ni virusi vya upungufu wa binadamu.
We want you to change the result.,Tunataka ubadilishe matokeo.
She was unmoved by the news.,Alikuwa hajasikitishwa na habari.
She said she doesn't care.,Alisema hajali.
She can duplicate academic transcripts.,Anaweza kurudia maandishi ya kitaaluma.
"Academic transcripts contain the name, age and hall of residence for a student.","Nakala za kitaaluma zina jina, umri na ukumbi wa makazi kwa mwanafunzi."
He told us his name.,Alituambia jina lake.
He asked for a fee of twenty thousand Ugandan shillings .,Aliuliza ada ya shilingi ishirini za Uganda.
They explained how they are attempting to manipulate the Human Immune Virus test result.,Walielezea jinsi wanajaribu kubadilisha matokeo ya  virusi vya kinga ya binadamu.
He accepted the test results.,Alikubali matokeo ya mtihani.
He is only giving you the blank page.,Anakupa tu ukurasa tupu.
It is you who changes the results.,Ni wewe anayebadilisha matokeo.
There are many fake specialists along the road.,Kuna wataalamu wengi bandia barabarani.
We are connected to a potential documents forger.,Tumeunganishwa na hati inayowezekana ya kughushi.
He has been in the documents forging business for a long time.,Amekuwa katika hati za kutengeneza biashara kwa muda mrefu.
We explained to him what we wanted.,Tulimfafanulia kile tunachotaka.
He said that we were not the first customers.,Alisema kuwa sisi sio wateja wa kwanza.
He asked us to trust him.,Alituuliza tumwamini.
He explained to us how he comes up with his final price.,Alituelezea jinsi anavyokuja na bei yake ya mwisho.
Those who ask for less money are still new in the business.,Wale ambao huuliza pesa kidogo bado ni mpya katika biashara.
The Handy Man's prices are considerably higher than those found on Nasser Street.,Bei ya mtumizi wa nyumbani ni juu  kuliko ile inayopatikana kwenye Mtaa wa Nasser.
He has worked on many young men and women in a short time .,Amefanya kazi kwa vijana na wanawake wengi kwa muda mfupi.
Many of his customers are students who want to have unprotected sex.,Wateja wake wengi ni wanafunzi ambao wanataka kufanya ngono isiyo salama.
Some men fear to go for a Human Immune Virus test.,Wanaume wengine wanaogopa  kupima virusi vya kinga ya binadamu.
His first female customer admitted to being positive.,Mteja wake wa kwanza wa kike alikiri kuwa chanya
She thought fake test results would help her secure the trust of her partner.,Alidhani matokeo ya jaribio bandia yangemsaidia kupata uaminifu wa mwenzi wake.
He said that his first female customer is still married to her partner.,Alisema kuwa mteja wake wa kwanza wa kike bado ameolewa na mwenzi wake.
There are various programmes for adult education.,Kuna mipango mbali mbali ya elimu ya watu wazima.
These programmes have bettered the living conditions of women.,Programu hizi zimeongeza hali ya maisha ya wanawake.
"Many women do not register for these programmes, especially those in rural areas.","Wanawake wengi hawajisajili kwa programu hizi, haswa zile za vijijini."
The women who do choose to enroll often have low attendance rates.,Wanawake ambao huchagua kujiandikisha mara nyingi huwa na viwango vya chini vya mahudhurio.
The women who do choose to enroll often have low attendance rates.,Wanawake ambao huchagua kujiandikisha mara nyingi huwa na viwango vya chini vya mahudhurio.
Transport in Uganda refers to the transportation structure in Uganda.,Usafiri nchini Uganda unahusu muundo wa usafirishaji nchini Uganda.
The country has an extensive network of paved and unpaved roads.,Nchi hiyo ina mtandao mkubwa wa barabara zilizotengenezwa na zisizohifadhiwa.
Improved roads are important in a country's development.,Barabara zilizoboreshwa ni muhimu katika maendeleo ya nchi.
"Most paved roads shine from Kampala, the country's capital and largest city.","Barabara nyingi zilizotengenezwa huangaza kutoka Kampala, mji mkuu wa nchi na mji mkubwa."
That new road was built by a Chinese company.,Barabara hiyo mpya ilijengwa na kampuni ya Wachina.
The government is planning to construct roads in the Democratic Republic of Congo.,Serikali imepanga kujenga barabara katika Jamhuri ya Kidemokrasia ya Kongo.
"In East Africa, this roadway is part of the Northern Corridor.","Katika Afrika Mashariki, barabara hii ni sehemu ya ukanda wa kaskazini."
There is an ongoing road reconstruction of Kampala to Jinja highway. ,Kuna ujenzi wa barabara unaoendelea wa Kampala kwenda kwa Jinja Highway.
There is an alternative route to that village.,Kuna njia mbadala ya kijiji hicho.
The road is used by trucks but sections are impassable after rain.,Barabara hutumiwa na malori lakini sehemu haziwezekani baada ya mvua.
This route was at times closed during the war and conflict in Northern Uganda.,Njia hii wakati mwingine ilifungwa wakati wa vita na migogoro kaskazini mwa Uganda.
The security situation should be checked with authorities in northern Uganda.,Hali ya usalama inapaswa kukaguliwa na mamlaka kaskazini mwa Uganda.
The railway line construction began from Mombasa.,Ujenzi wa reli ya reli ulianza kutoka Mombasa.
The country borrowed money from a bank in China.,Nchi ilikopa pesa kutoka benki nchini China.
All the existing railway is metre measured.,Reli yote iliyopo ni kipimo cha mita.
A new standard rail network is planned.,Mtandao mpya wa reli umepangwa.
Uganda is planning to revamp its old railway lines to improve cargo transport.,Uganda imepanga kurekebisha mistari yake ya zamani ya reli ili kuboresha usafirishaji wa mizigo.
"The only railway line still operating, however, is the Malabaâ€“Kampala line.","Njia pekee ya reli bado inafanya kazi, hata hivyo, ni mstari wa Malaba -Kampala."
The six countries of the East Africa are in the process of constructing railway lines.,Nchi sita za Afrika Mashariki ziko katika mchakato wa kujenga mistari ya reli.
Kenya completed the construction of the Mombasa-Nairobi section.,Kenya ilikamilisha ujenzi wa sehemu ya Mombasa-Nairobi.
The country now plans to extend the existing railway line.,Nchi sasa imepanga kupanua reli iliyopo.
Uganda plans to construct a new railway line.,Uganda mipango ya kujenga reli mpya.
Uganda will link the railway line to its four neighbouring countries.,Uganda itaunganisha mstari wa reli na nchi zake nne za jirani.
Uganda Railways Corporation will construct the railway line.,Shirika la Reli ya Uganda litaunda reli.
The government of Uganda cancelled the agreement made with the railway company.,Serikali ya Uganda ilighairi makubaliano yaliyotolewa na kampuni ya reli.
The company ran to court to stop the termination.,Kampuni hiyo ilikimbilia korti ili kukomesha kukomesha.
The company resumed operating the railway system.,Kampuni ilianza tena kufanya kazi kwa mfumo wa reli.
Lake Victoria is the main waterway with commercial traffic.,Ziwa Victoria ndio njia kuu ya maji na trafiki ya kibiashara.
The railway companies of the two countries operate train ferries on the lake.,Kampuni za reli za nchi hizo mbili zinaendesha vivuko vya treni kwenye ziwa.
These ferries load rail coaches and wagons.,Feri hizi hupakia makocha wa reli na gari.
The railway headquarters are located at Port Bell.,Makao makuu ya reli iko Port Bell.
Port Bell is a small industrial centre in Kampala.,Port Bell ni kituo kidogo cha viwanda huko Kampala.
Other ferries serve non-railhead ports on the lake.,Vivuko vingine hutumikia bandari zisizo za reli kwenye ziwa.
There are dry dock facilities at Port Bell.,Kuna vifaa vya kizimbani kavu huko Port Bell.
The new inland port is designed to handle millions of tonnes of goods annually.,Bandari mpya ya mashambani imeundwa kushughulikia mamilioni ya tani za bidhaa kila mwaka.
A new inland port is under construction.,Bandari mpya ya mashambani iko chini ya ujenzi.
The port will facilitate the movement of goods from the Tanzanian ports.,Bandari itawezesha harakati za bidhaa kutoka bandari za Tanzania.
Tankers will bring the cargo over the lake to Bukasa.,Mizinga italeta mizigo juu ya ziwa kwenda Bukasa.
"This would reduce Uganda's dependence on the port of Mombasa, Kenya.","Hii itapunguza utegemezi wa Uganda kwenye bandari ya Mombasa, Kenya."
Lake Kyoga and the Victoria Nile make up the second most important commercial waterway.,Ziwa Kyoga na Victoria Nile hufanya njia ya pili muhimu zaidi ya kibiashara.
There used to be a steamboat service between Namasagali going as far as Masindi-Port.,Kulikuwa na huduma ya Steamboat kati ya Namasagali kwenda hadi Masindi-Port.
Other waterways in Uganda do not carry commercial traffic.,Njia zingine za maji nchini Uganda hazibeba trafiki ya kibiashara.
Entebbe International Airport is Uganda's largest and busiest airport.,Uwanja wa Ndege wa Kimataifa wa Entebbe ni uwanja mkubwa wa ndege wa Uganda na wenye shughuli nyingi.
The government of Uganda began the expansion and upgrade of Entebbe Airport.,Serikali ya Uganda ilianza upanuzi na uboreshaji wa uwanja wa ndege wa Entebbe.
The company started construction of another airport in Hoima District. ,Kampuni hiyo ilianza ujenzi wa uwanja mwingine wa ndege wilayani Hoima.
The first phase of construction is expected to be ready soon.,Awamu ya kwanza ya ujenzi inatarajiwa kuwa tayari hivi karibuni.
The airport construction primarily will support the construction of the Uganda Oil Refinery.,Ujenzi wa uwanja wa ndege kimsingi utasaidia ujenzi wa kiwanda cha kusafisha mafuta cha Uganda.
Uganda had forty seven airports.,Uganda ilikuwa na viwanja vya ndege arobaini na saba.
"The factbook provides information on the history, people and governments.","Factbook hutoa habari juu ya historia, watu na serikali."
The Ugandan government ended rebel activities.,Serikali ya Uganda ilimaliza shughuli za waasi.
It is the ruling political party in Uganda.,Ni chama tawala cha siasa nchini Uganda.
A variety of rebel groups waged a civil war against the Ugandan government.,Vikundi mbali mbali vya waasi vilipiga vita vya wenyewe kwa wenyewe dhidi ya serikali ya Uganda.
Most of the fighting took place in the central part of the country.,Mapigano mengi yalifanyika katika sehemu ya kati ya nchi.
There were many rebel groups in Northern Uganda.,Kulikuwa na vikundi vingi vya waasi kaskazini mwa Uganda.
The rebels often fought each other.,Waasi mara nyingi walipigana kila mmoja.
Human rights were violated.,Haki za binadamu zilikiukwa.
The Ugandan government was able to defeat most rebel groups.,Serikali ya Uganda iliweza kushinda vikundi vingi vya waasi.
The operations in the north and east caused great destruction.,Shughuli za kaskazini na mashariki zilisababisha uharibifu mkubwa.
The main rebel group was weakened.,Kundi kuu la waasi lilidhoofishwa.
Outside powers intervened and began to fund rebel groups.,Nguvu za nje ziliingilia kati na kuanza kufadhili vikundi vya waasi.
Uganda was drawn into cross-border conflicts in Zaire and Sudan.,Uganda ilivutiwa na mizozo ya mpaka huko Zaire na Sudan.
